method,split,task,regime,mean_success,ci95_success,mean_valid_invariance_retention,ci95_valid_invariance_retention,mean_invalid_invariance_rejection,ci95_invalid_invariance_rejection,mean_task_equivalence_f1,ci95_task_equivalence_f1,mean_false_invariance_acceptance,ci95_false_invariance_acceptance,mean_contact_violation,ci95_contact_violation,mean_unsafe_action,ci95_unsafe_action,mean_calibration_ece,ci95_calibration_ece,mean_intervention_cost,ci95_intervention_cost,mean_data_efficiency_proxy,ci95_data_efficiency_proxy,groups
aggressive_augmentation_policy,invalid_physical_shift,drawer_opening,material_friction_swap,0.5612,0.0382,0.534,0.0362,0.2568,0.0363,0.3163,0.0341,0.3095,0.033,0.1548,0.0197,0.1429,0.0265,0.1786,0.0249,0.1667,0.0301,0.5085,0.041,7
aggressive_augmentation_policy,invalid_physical_shift,drawer_opening,mirror_handed_contact,0.534,0.0193,0.5442,0.0477,0.2211,0.0274,0.3418,0.0671,0.3095,0.0279,0.1514,0.0304,0.1854,0.0221,0.1548,0.0239,0.1701,0.0159,0.5221,0.0601,7
aggressive_augmentation_policy,invalid_physical_shift,drawer_opening,se2_pose_transform,0.6259,0.0404,0.5493,0.0376,0.2364,0.0362,0.3146,0.0541,0.1276,0.0202,0.051,0.0174,0.0714,0.0176,0.1071,0.0191,0.1582,0.0141,0.5136,0.0454,7
aggressive_augmentation_policy,invalid_physical_shift,drawer_opening,temporal_order_reversal,0.5646,0.0452,0.5204,0.0232,0.2432,0.0313,0.3299,0.0536,0.3129,0.0344,0.1122,0.0287,0.1497,0.036,0.1922,0.0294,0.1939,0.0232,0.4966,0.0253,7
aggressive_augmentation_policy,invalid_physical_shift,drawer_opening,tool_affordance_swap,0.5544,0.0667,0.5238,0.0367,0.2279,0.0303,0.318,0.044,0.2925,0.0309,0.165,0.018,0.1905,0.0184,0.165,0.0267,0.1786,0.0435,0.5,0.0279,7
aggressive_augmentation_policy,invalid_physical_shift,mobile_pick_and_place,camera_viewpoint_shift,0.6531,0.0336,0.5748,0.0344,0.2211,0.0432,0.3265,0.0589,0.0816,0.0224,0.0425,0.0112,0.0663,0.0264,0.0952,0.026,0.1378,0.0292,0.4813,0.0317,7
aggressive_augmentation_policy,invalid_physical_shift,mobile_pick_and_place,lighting_background_shift,0.6565,0.0343,0.5578,0.0312,0.1803,0.023,0.318,0.0182,0.0697,0.0156,0.0646,0.0287,0.0425,0.0175,0.0765,0.0175,0.1769,0.0299,0.4864,0.0545,7
aggressive_augmentation_policy,invalid_physical_shift,mobile_pick_and_place,material_friction_swap,0.5527,0.0435,0.5289,0.0516,0.2823,0.037,0.3231,0.0336,0.2738,0.0274,0.1259,0.0333,0.1633,0.03,0.1616,0.0123,0.1633,0.0355,0.4541,0.0257,7
aggressive_augmentation_policy,invalid_physical_shift,mobile_pick_and_place,mirror_handed_contact,0.517,0.048,0.5391,0.0258,0.2279,0.0484,0.318,0.0359,0.2806,0.0352,0.1497,0.0394,0.1837,0.0349,0.1922,0.0476,0.1837,0.0168,0.4915,0.0373,7
aggressive_augmentation_policy,invalid_physical_shift,mobile_pick_and_place,se2_pose_transform,0.5935,0.0393,0.5544,0.0469,0.2313,0.0321,0.3418,0.022,0.1412,0.0351,0.0782,0.0196,0.0714,0.0125,0.1037,0.0359,0.1412,0.0362,0.551,0.0443,7
aggressive_augmentation_policy,invalid_physical_shift,mobile_pick_and_place,temporal_order_reversal,0.5068,0.069,0.5306,0.0419,0.2551,0.0321,0.3588,0.043,0.2721,0.0582,0.1412,0.0358,0.1735,0.0243,0.182,0.0263,0.1565,0.043,0.4575,0.0168,7
aggressive_augmentation_policy,invalid_physical_shift,mobile_pick_and_place,tool_affordance_swap,0.5255,0.0399,0.5153,0.0514,0.2568,0.0352,0.3367,0.0202,0.2942,0.0253,0.1224,0.0208,0.1803,0.0294,0.1633,0.0237,0.1446,0.0206,0.5085,0.0325,7
aggressive_augmentation_policy,invalid_physical_shift,peg_insertion,camera_viewpoint_shift,0.6429,0.0407,0.5799,0.0296,0.2279,0.0533,0.3605,0.03,0.1088,0.0276,0.0595,0.0204,0.0731,0.0224,0.0765,0.0143,0.1582,0.0321,0.5136,0.0436,7
aggressive_augmentation_policy,invalid_physical_shift,peg_insertion,lighting_background_shift,0.6241,0.0168,0.5765,0.0367,0.2194,0.0363,0.335,0.0465,0.0714,0.0204,0.0561,0.0174,0.0391,0.0084,0.0782,0.0183,0.1735,0.0168,0.5255,0.0601,7
aggressive_augmentation_policy,invalid_physical_shift,peg_insertion,material_friction_swap,0.4932,0.0452,0.5255,0.0442,0.2602,0.0206,0.3231,0.0482,0.3061,0.0325,0.1837,0.0168,0.182,0.0287,0.1871,0.0348,0.1905,0.0283,0.4864,0.0379,7
aggressive_augmentation_policy,invalid_physical_shift,peg_insertion,mirror_handed_contact,0.5476,0.0283,0.5442,0.0437,0.216,0.0415,0.2976,0.0288,0.2976,0.0269,0.1735,0.0345,0.1735,0.0317,0.165,0.0257,0.1718,0.048,0.4694,0.0152,7
aggressive_augmentation_policy,invalid_physical_shift,peg_insertion,se2_pose_transform,0.6088,0.0503,0.5952,0.0279,0.2296,0.0253,0.3265,0.056,0.1224,0.0296,0.0697,0.0267,0.0629,0.0141,0.1156,0.0321,0.165,0.0369,0.5153,0.03,7
aggressive_augmentation_policy,invalid_physical_shift,peg_insertion,temporal_order_reversal,0.5323,0.0333,0.5425,0.016,0.25,0.0314,0.3316,0.0415,0.2959,0.0518,0.1463,0.0313,0.1786,0.0216,0.2143,0.0239,0.1599,0.0441,0.517,0.0325,7
aggressive_augmentation_policy,invalid_physical_shift,peg_insertion,tool_affordance_swap,0.5612,0.0706,0.5357,0.0475,0.2653,0.0313,0.3554,0.0336,0.2959,0.0418,0.1548,0.0255,0.1599,0.0112,0.182,0.0282,0.1752,0.0282,0.4558,0.0383,7
aggressive_augmentation_policy,invalid_physical_shift,tool_use,camera_viewpoint_shift,0.6173,0.0369,0.5986,0.0317,0.2228,0.0406,0.3248,0.0363,0.1037,0.0182,0.0629,0.0132,0.051,0.0202,0.1088,0.0094,0.1446,0.0336,0.4728,0.0446,7
aggressive_augmentation_policy,invalid_physical_shift,tool_use,lighting_background_shift,0.631,0.0301,0.5901,0.0313,0.2228,0.0337,0.3384,0.0345,0.085,0.0213,0.0476,0.0114,0.0425,0.0152,0.0799,0.015,0.1514,0.022,0.4983,0.0267,7
aggressive_augmentation_policy,invalid_physical_shift,tool_use,material_friction_swap,0.534,0.0667,0.5119,0.0499,0.284,0.0257,0.3639,0.0321,0.2925,0.0203,0.1548,0.026,0.1752,0.0317,0.1684,0.0246,0.1633,0.0202,0.4677,0.0406,7
aggressive_augmentation_policy,invalid_physical_shift,tool_use,mirror_handed_contact,0.5578,0.0267,0.5255,0.0701,0.2704,0.0526,0.3129,0.0355,0.2976,0.0249,0.1514,0.0291,0.1446,0.0336,0.1854,0.0345,0.1633,0.0406,0.5085,0.0309,7
aggressive_augmentation_policy,invalid_physical_shift,tool_use,se2_pose_transform,0.5748,0.0455,0.534,0.0415,0.2092,0.0215,0.3316,0.0224,0.1241,0.0269,0.0595,0.0176,0.0799,0.022,0.0969,0.0281,0.1616,0.0238,0.5306,0.0292,7
aggressive_augmentation_policy,invalid_physical_shift,tool_use,temporal_order_reversal,0.4966,0.0263,0.517,0.0337,0.2534,0.0317,0.3265,0.0349,0.2959,0.0312,0.1224,0.0268,0.1599,0.0175,0.2007,0.0421,0.1446,0.0271,0.4609,0.0387,7
aggressive_augmentation_policy,invalid_physical_shift,tool_use,tool_affordance_swap,0.568,0.0243,0.5408,0.0259,0.2398,0.0533,0.3061,0.0406,0.2976,0.0349,0.1361,0.0152,0.1497,0.04,0.1599,0.0333,0.1412,0.0358,0.5238,0.0301,7
aggressive_augmentation_policy,nominal,cable_routing,camera_viewpoint_shift,0.6327,0.0271,0.5646,0.0309,0.2313,0.0313,0.3724,0.0159,0.0748,0.0141,0.0476,0.0161,0.0493,0.023,0.0425,0.0069,0.1463,0.0296,0.4779,0.071,7
aggressive_augmentation_policy,nominal,cable_routing,lighting_background_shift,0.6497,0.0341,0.5714,0.0491,0.1888,0.0285,0.3759,0.0349,0.0697,0.018,0.0374,0.0156,0.0357,0.0153,0.0731,0.0148,0.1088,0.0219,0.5085,0.0325,7
aggressive_augmentation_policy,nominal,cable_routing,material_friction_swap,0.6105,0.0348,0.5493,0.0303,0.2449,0.0391,0.3912,0.0312,0.1769,0.0535,0.1003,0.0086,0.1071,0.0447,0.0969,0.0236,0.1429,0.0318,0.5204,0.0317,7
aggressive_augmentation_policy,nominal,cable_routing,mirror_handed_contact,0.6088,0.0252,0.5595,0.0398,0.2449,0.0367,0.3622,0.0377,0.1922,0.0156,0.1259,0.0221,0.0952,0.0161,0.0816,0.0224,0.1276,0.0243,0.5323,0.0237,7
aggressive_augmentation_policy,nominal,cable_routing,se2_pose_transform,0.665,0.0433,0.5697,0.0267,0.2381,0.033,0.3707,0.0427,0.085,0.0267,0.0629,0.0248,0.0493,0.0224,0.0799,0.0214,0.1293,0.0294,0.5493,0.0299,7
aggressive_augmentation_policy,nominal,cable_routing,temporal_order_reversal,0.6173,0.0351,0.5612,0.0206,0.2092,0.0443,0.3656,0.0325,0.1922,0.0236,0.0969,0.0148,0.1071,0.0279,0.1412,0.0281,0.131,0.0269,0.5,0.0384,7
aggressive_augmentation_policy,nominal,cable_routing,tool_affordance_swap,0.5833,0.0367,0.5459,0.0492,0.2585,0.0359,0.4116,0.041,0.2024,0.026,0.0969,0.0281,0.1207,0.0294,0.1105,0.0208,0.1259,0.0313,0.4728,0.0237,7
aggressive_augmentation_policy,nominal,drawer_opening,camera_viewpoint_shift,0.6803,0.0312,0.6105,0.0309,0.2483,0.043,0.3724,0.0304,0.0646,0.016,0.0544,0.01,0.0374,0.0094,0.068,0.0195,0.1429,0.0318,0.5017,0.059,7
aggressive_augmentation_policy,nominal,drawer_opening,lighting_background_shift,0.6327,0.0376,0.5884,0.0524,0.2279,0.0281,0.381,0.0349,0.0884,0.0274,0.0391,0.015,0.0408,0.0183,0.068,0.0098,0.1207,0.0439,0.5238,0.0314,7
aggressive_augmentation_policy,nominal,drawer_opening,material_friction_swap,0.6071,0.0292,0.5459,0.0312,0.2194,0.0429,0.3588,0.0336,0.1616,0.0426,0.1105,0.03,0.0697,0.0148,0.1105,0.0248,0.1378,0.0152,0.5374,0.0459,7
aggressive_augmentation_policy,nominal,drawer_opening,mirror_handed_contact,0.6156,0.0533,0.6037,0.0383,0.2602,0.052,0.3452,0.0135,0.182,0.0287,0.1395,0.03,0.1037,0.0237,0.1139,0.0227,0.1463,0.0208,0.5442,0.0557,7
aggressive_augmentation_policy,nominal,drawer_opening,se2_pose_transform,0.6497,0.0511,0.5646,0.0446,0.233,0.0274,0.3435,0.0246,0.1139,0.0209,0.068,0.0084,0.0544,0.0221,0.0663,0.0168,0.1446,0.023,0.4847,0.0348,7
aggressive_augmentation_policy,nominal,drawer_opening,temporal_order_reversal,0.5901,0.0604,0.5646,0.0429,0.2602,0.0465,0.3707,0.0535,0.1718,0.0363,0.0952,0.0274,0.1173,0.0193,0.1241,0.0209,0.1395,0.0291,0.5,0.0318,7
aggressive_augmentation_policy,nominal,drawer_opening,tool_affordance_swap,0.6293,0.0347,0.5969,0.0582,0.284,0.0172,0.3793,0.0476,0.2109,0.0237,0.0952,0.0144,0.1139,0.0313,0.1207,0.02,0.1259,0.0264,0.517,0.0472,7
aggressive_augmentation_policy,nominal,mobile_pick_and_place,camera_viewpoint_shift,0.6667,0.0398,0.6105,0.0503,0.2364,0.0433,0.3537,0.046,0.0833,0.026,0.0425,0.0175,0.0527,0.0233,0.0612,0.0224,0.1429,0.0279,0.5,0.0464,7
aggressive_augmentation_policy,nominal,mobile_pick_and_place,lighting_background_shift,0.6939,0.0329,0.5646,0.0423,0.2058,0.022,0.3673,0.0294,0.0765,0.0112,0.0425,0.0233,0.0272,0.0132,0.0442,0.0098,0.1378,0.0209,0.4813,0.0475,7
aggressive_augmentation_policy,nominal,mobile_pick_and_place,material_friction_swap,0.6344,0.0273,0.5561,0.04,0.2211,0.0215,0.3503,0.0283,0.2109,0.0377,0.0969,0.0252,0.1105,0.0237,0.1207,0.0156,0.1497,0.0143,0.5272,0.0359,7
aggressive_augmentation_policy,nominal,mobile_pick_and_place,mirror_handed_contact,0.6327,0.0445,0.5731,0.0267,0.2483,0.0421,0.398,0.0472,0.1735,0.019,0.0935,0.0079,0.1054,0.0219,0.1071,0.026,0.1429,0.0288,0.4864,0.0418,7
aggressive_augmentation_policy,nominal,mobile_pick_and_place,se2_pose_transform,0.6497,0.0367,0.5459,0.0336,0.2364,0.0271,0.381,0.0216,0.085,0.0148,0.0374,0.018,0.0578,0.0224,0.085,0.0236,0.1173,0.0257,0.5306,0.0441,7
aggressive_augmentation_policy,nominal,mobile_pick_and_place,temporal_order_reversal,0.6071,0.0255,0.5306,0.0435,0.2551,0.0469,0.3469,0.0294,0.182,0.0208,0.0748,0.0195,0.0935,0.0236,0.1344,0.038,0.102,0.01,0.5391,0.0393,7
aggressive_augmentation_policy,nominal,mobile_pick_and_place,tool_affordance_swap,0.5952,0.0401,0.5714,0.0356,0.2483,0.0365,0.3759,0.0397,0.1718,0.0259,0.0952,0.0378,0.0918,0.0159,0.1276,0.0268,0.1224,0.0377,0.4915,0.0263,7
aggressive_augmentation_policy,nominal,peg_insertion,camera_viewpoint_shift,0.6871,0.0366,0.5986,0.0564,0.2313,0.019,0.3282,0.0333,0.0816,0.0219,0.0561,0.0159,0.0408,0.0221,0.0595,0.0114,0.1412,0.0164,0.5034,0.0471,7
aggressive_augmentation_policy,nominal,peg_insertion,lighting_background_shift,0.6633,0.0519,0.5901,0.0463,0.2211,0.0227,0.3844,0.0496,0.0799,0.0208,0.0476,0.0161,0.0544,0.0152,0.0663,0.0209,0.1105,0.0355,0.5391,0.0477,7
aggressive_augmentation_policy,nominal,peg_insertion,material_friction_swap,0.6003,0.036,0.551,0.0363,0.2415,0.0309,0.3588,0.0246,0.2007,0.0406,0.1122,0.0196,0.1241,0.0203,0.0935,0.0281,0.1361,0.0391,0.534,0.0241,7
aggressive_augmentation_policy,nominal,peg_insertion,mirror_handed_contact,0.6224,0.0422,0.5748,0.0248,0.2296,0.0387,0.3605,0.0437,0.1701,0.0366,0.1054,0.023,0.0935,0.018,0.1105,0.0263,0.131,0.0249,0.5408,0.0463,7
aggressive_augmentation_policy,nominal,peg_insertion,se2_pose_transform,0.648,0.0233,0.5527,0.0496,0.2194,0.0469,0.4065,0.0393,0.0782,0.0196,0.0493,0.0172,0.0612,0.0219,0.0782,0.0215,0.1378,0.0168,0.5102,0.0299,7
aggressive_augmentation_policy,nominal,peg_insertion,temporal_order_reversal,0.6037,0.0428,0.5935,0.0129,0.2534,0.039,0.3316,0.0156,0.199,0.0282,0.1054,0.0193,0.1037,0.0202,0.1003,0.0269,0.1276,0.0253,0.5221,0.0495,7
