rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
11,doi:10.1177/02783640122067525,Quantitative Evaluation of Matching Methods and Validity Measures for Stereo Vision,2001,The International Journal of Robotics Research,https://doi.org/10.1177/02783640122067525,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
12,doi:10.31234/osf.io/stek7_v1,Large Language Model–Generated Tutoring Responses Receive Higher Ratings but Are Penalized by Source-Based Evaluation Bias,,,https://doi.org/10.31234/osf.io/stek7_v1,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
13,doi:10.30574/ijsra.2025.16.2.2379,Model evaluation framework to compare large language models,2025,International Journal of Science and Research Archive,https://doi.org/10.30574/ijsra.2025.16.2.2379,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
14,arxiv:2603.28545v1,ManipArena: Comprehensive Real-world Evaluation of Reasoning-Oriented Generalist Robot Manipulation,2026,arXiv,http://arxiv.org/abs/2603.28545v1,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
15,doi:10.1145/3644116.3644294,"ZhongJing: A Locally Deployed Large Language Model for Traditional Chinese Medicine and Corresponding Evaluation Methodology: A Large Language Model for data fine-tuning in the field of Traditional Chinese Medicine, and a new evaluation method called TCMEval are proposed",2023,Proceedings of the 2023 4th International Symposium on Artificial Intelligence for Medicine Science,https://doi.org/10.1145/3644116.3644294,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
16,arxiv:2409.15250v3,ReVLA: Reverting Visual Domain Limitation of Robotic Foundation Models,2024,arXiv,http://arxiv.org/abs/2409.15250v3,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
17,doi:10.1049/cvi2.12342,Egocentric action anticipation from untrimmed videos,2025,IET Computer Vision,https://doi.org/10.1049/cvi2.12342,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
18,doi:10.3390/robotics10020071,Multirobot Confidence and Behavior Modeling: An Evaluation of Semiautonomous Task Performance and Efficiency,2021,Robotics,https://doi.org/10.3390/robotics10020071,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
19,doi:10.3390/sym9080162,Risk Evaluation in Failure Mode and Effects Analysis Using Fuzzy Measure and Fuzzy Integral,2017,Symmetry,https://doi.org/10.3390/sym9080162,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
20,doi:10.18196/jrc.v6i1.23302,AI-Driven Classification of Children’s Drawings for Pediatric Psychological Evaluation: An Ensemble Deep Learning Approach,2025,Journal of Robotics and Control (JRC),https://doi.org/10.18196/jrc.v6i1.23302,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
21,doi:10.1068/b240573,"Success, Failure, and Conformance: An Alternative Approach to Planning Evaluation",1997,Environment and Planning B: Planning and Design,https://doi.org/10.1068/b240573,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
22,doi:10.1016/j.landurbplan.2020.103972,In which natural environments are people happiest? Large-scale experience sampling in the Netherlands,2021,Landscape and Urban Planning,https://doi.org/10.1016/j.landurbplan.2020.103972,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
23,doi:10.1007/s40194-025-02293-y,Fatigue life evaluation of root failure in welded joints based on displacement around the weld root,2025,Welding in the World,https://doi.org/10.1007/s40194-025-02293-y,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
24,doi:10.36227/techrxiv.172833656.69588216/v1,Token-Based Prompt Manipulation for Automated Large Language Model Evaluation,,,https://doi.org/10.36227/techrxiv.172833656.69588216/v1,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
25,doi:10.3390/land14040786,Evaluation of Thermal Comfort in Urban Commercial Space with Vision–Language-Model-Based Agent Model,2025,Land,https://doi.org/10.3390/land14040786,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
26,doi:10.1080/14664208.2018.1553913,Are terminology planning evaluation and language policy and planning evaluation applicable to the evaluation of standardisation?,2020,Current Issues in Language Planning,https://doi.org/10.1080/14664208.2018.1553913,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
27,doi:10.1002/oca.2877,On necessary optimality conditions and exact penalization for a constrained fractional optimal control problem,2022,Optimal Control Applications and Methods,https://doi.org/10.1002/oca.2877,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
28,doi:10.3390/a17030113,Evaluation of Neural Network Effectiveness on Sliding Mode Control of Delta Robot for Trajectory Tracking,2024,Algorithms,https://doi.org/10.3390/a17030113,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
29,doi:10.1609/aaai.v39i23.34627,TreeEval: Benchmark-Free Evaluation of Large Language Models through Tree Planning,2025,Proceedings of the AAAI Conference on Artificial Intelligence,https://doi.org/10.1609/aaai.v39i23.34627,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
30,doi:10.2196/preprints.75932,A Multi-agent Large Language Model Framework for Medical Text Summarization and Evaluation: Development and Evaluation Study (Preprint),,,https://doi.org/10.2196/preprints.75932,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
31,doi:10.20517/ir.2025.11,Digital twins to embodied artificial intelligence: review and perspective,2025,Intelligence & Robotics,https://doi.org/10.20517/ir.2025.11,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
32,doi:10.3390/electronics14020401,Model Checking Using Large Language Models—Evaluation and Future Directions,2025,Electronics,https://doi.org/10.3390/electronics14020401,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
33,doi:10.1115/detc2012-71342,Controlled Infeasibility for Physically Feasible Optimal Motion Planning of Manipulators,2012,"Volume 4: 36th Mechanisms and Robotics Conference, Parts A and B",https://doi.org/10.1115/detc2012-71342,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
34,doi:10.1145/3654777.3676401,VoicePilot: Harnessing LLMs as Speech Interfaces for Physically Assistive Robots,2024,,https://doi.org/10.1145/3654777.3676401,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
35,doi:10.32388/2q3k8u,Balancing Safety and Educational Availability in a Large Language Model-Based Virtual Patient for Medical Interview Training: Robustness Evaluation Under Direct and Indirect Instructional Contamination,,,https://doi.org/10.32388/2q3k8u,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
36,doi:10.1628/jite-2021-0006,Are Interim Performance Evaluations Optimal when the Evaluations are Subject to Manipulation?,2021,Journal of Institutional and Theoretical Economics,https://doi.org/10.1628/jite-2021-0006,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
37,arxiv:2309.08897v1,Asynchronous Task Plan Refinement for Multi-Robot Task and Motion Planning,2023,arXiv,http://arxiv.org/abs/2309.08897v1,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
38,doi:10.1115/1.4050382,Force Evaluation of Tendon Routing for Underactuated Grasping,2021,Journal of Mechanical Design,https://doi.org/10.1115/1.4050382,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
39,doi:10.1016/j.apenergy.2023.121071,Towards scalable physically consistent neural networks: An application to data-driven multi-zone thermal building models,2023,Applied Energy,https://doi.org/10.1016/j.apenergy.2023.121071,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
40,doi:10.3390/s26113541,Sensing the Action: Rethinking Sensor Modalities and Multi-Modal Fusion in Vision–Language–Action Models for Robotic Manipulation,2026,Sensors,https://doi.org/10.3390/s26113541,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
41,doi:10.1007/s10922-021-09631-7,MSN: A Playground Framework for Design and Evaluation of MicroServices-Based sdN Controller,2021,Journal of Network and Systems Management,https://doi.org/10.1007/s10922-021-09631-7,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
42,doi:10.3390/fire9060233,Intelligent Tunnel Fire Source Characteristic Inversion Technology Based on Large Language Model Multi-Agent Collaboration,2026,Fire,https://doi.org/10.3390/fire9060233,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
43,doi:10.1371/journal.pone.0291410,Interdisciplinary evaluation of a robot physically collaborating with workers,2023,PLoS ONE,https://doi.org/10.1371/journal.pone.0291410,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
44,arxiv:2601.21282v1,WorldBench: Disambiguating Physics for Diagnostic Evaluation of World Models,2026,arXiv,http://arxiv.org/abs/2601.21282v1,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
45,arxiv:2603.12510v3,Red-Teaming Vision-Language-Action Models via Quality Diversity Prompt Generation for Robust Robot Policies,2026,arXiv,http://arxiv.org/abs/2603.12510v3,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
46,doi:10.3390/s21134350,Confidence Score: The Forgotten Dimension of Object Detection Performance Evaluation,2021,Sensors,https://doi.org/10.3390/s21134350,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
47,doi:10.3390/s24092794,"Bridging Requirements, Planning, and Evaluation: A Review of Social Robot Navigation",2024,Sensors,https://doi.org/10.3390/s24092794,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
48,doi:10.1002/rob.21715,"Design, integration, and field evaluation of a robotic apple harvester",2017,Journal of Field Robotics,https://doi.org/10.1002/rob.21715,Addresses robot policy evaluation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Invariance audits for robot policies keeps action-critical alternatives explicit until a physical observation collapses them.
